编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,用户类型,1.那张图展示的内容更吸引你呢？,2.哪张图展示的内容更吸引你呢？,3.哪张图展示的内容更吸引你呢？,4.哪张图展示的内容更吸引你呢？,5.哪张图展示的内容更吸引你呢？,6.哪张图展示的内容更吸引你呢？,7.哪张图展示的内容更吸引你呢？,8.哪张图展示的内容更吸引你呢？,9.哪张图展示的内容更吸引你呢？,10.哪张图展示的内容更吸引你呢？,11.哪张图展示的内容更吸引你呢？,12.哪张图展示的内容更吸引你呢？,13.哪张图展示的内容更吸引你呢？,14.哪张图展示的内容更吸引你呢？,15.哪张图展示的内容更吸引你呢？,16.哪张图展示的内容更吸引你呢？,,,,,,,,,,,,,,,,
11,6/21/20 16:13,6/21/20 16:15,100,中国,北京市,北京市,微信,2,2,2,3,2,3,3,2,2,2,3,1,3,1,1,1,2,2,2,3,2,3,3,2,2,2,3,1,3,1,1,1
10,6/21/20 16:04,6/21/20 16:06,99,中国,北京市,,微信,3,2,2,3,2,3,3,1,2,2,3,1,3,1,1,1,3,2,2,3,2,3,3,1,2,2,3,1,3,1,1,1
9,6/21/20 15:59,6/21/20 16:00,103,中国,北京市,北京市,微信,1,2,2,3,2,2,2,2,1,3,2,1,2,2,2,1,1,2,2,3,2,2,2,2,1,3,2,1,2,2,2,1
8,6/21/20 15:45,6/21/20 15:48,209,中国,江苏省,,,2,3,2,3,2,2,3,2,1,2,1,2,2,2,3,1,2,3,2,3,2,2,3,2,1,2,1,2,2,2,3,1
7,6/21/20 15:34,6/21/20 15:36,127,中国,北京市,北京市,微信,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2
6,6/21/20 15:35,6/21/20 15:36,88,中国,北京市,北京市,微信,3,3,1,1,2,1,3,2,2,3,3,3,2,2,1,2,3,3,1,1,2,1,3,2,2,3,3,3,2,2,1,2
5,6/21/20 15:33,6/21/20 15:34,37,中国,河南省,,微信,1,2,2,3,1,3,2,1,2,1,2,2,1,3,1,1,1,2,2,3,1,3,2,1,2,1,2,2,1,3,1,1
4,6/21/20 15:25,6/21/20 15:28,176,中国,北京市,北京市,微信,2,2,1,2,2,3,2,2,3,1,3,2,3,3,1,2,2,2,1,2,2,3,2,2,3,1,3,2,3,3,1,2
3,6/21/20 15:21,6/21/20 15:23,124,中国,北京市,北京市,微信,3,2,3,2,3,1,2,3,1,3,3,3,2,2,3,3,3,2,3,2,3,1,2,3,1,3,3,3,2,2,3,3
2,6/21/20 15:21,6/21/20 15:23,108,中国,上海市,上海市,微信,2,2,1,2,2,3,3,2,2,2,3,1,3,1,2,2,2,2,1,2,2,3,3,2,2,2,3,1,3,1,2,2
1,6/21/20 15:21,6/21/20 15:22,90,中国,北京市,北京市,微信,1,3,1,2,2,1,1,2,2,2,3,1,3,1,1,2,1,3,1,2,2,1,1,2,2,2,3,1,3,1,1,2
