"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.哪张图展示的内容更吸引你呢？","2.哪张图展示的内容更吸引你呢？","3.哪张图展示的内容更吸引你呢？","4.哪张图展示的内容更吸引你呢？","5.哪张图展示的内容更吸引你呢？","6.哪张图展示的内容更吸引你呢？","7.哪张图展示的内容更吸引你呢？","8.哪张图展示的内容更吸引你呢？","9.哪张图展示的内容更吸引你呢？","10.哪张图展示的内容更吸引你呢？","11.哪张图展示的内容更吸引你呢？","12.哪张图展示的内容更吸引你呢？","13.哪张图展示的内容更吸引你呢？","14.哪张图展示的内容更吸引你呢？","15.哪张图展示的内容更吸引你呢？","16.哪张图展示的内容更吸引你呢？","17.哪张图展示的内容更吸引你呢？","18.哪张图展示的内容更吸引你呢？","19.哪张图展示的内容更吸引你呢？","20.哪张图展示的内容更吸引你呢？","21.哪张图展示的内容更吸引你呢？","22.哪张图展示的内容更吸引你呢？","23.哪张图展示的内容更吸引你呢？","24.哪张图展示的内容更吸引你呢？","25.哪张图展示的内容更吸引你呢？","26.哪张图展示的内容更吸引你呢？","27.哪张图展示的内容更吸引你呢？","28.哪张图展示的内容更吸引你呢？","29.哪张图展示的内容更吸引你呢？","30.哪张图展示的内容更吸引你呢？","31.哪张图展示的内容更吸引你呢？","32.哪张图展示的内容更吸引你呢？",
"21","21-Jun-2020 13:12:33","21-Jun-2020 15:53:54","9681","美国","","","","2","3","2","3","2","2","3","1","1","1","3","1","2","3","2","2","1","2","2","1","3","3","2","3","1","1","1","1","3","3","3","3",
"20","21-Jun-2020 15:45:45","21-Jun-2020 15:50:05","260","中国","北京市","北京市","","3","3","3","1","1","1","2","3","3","3","3","3","3","2","2","3","1","3","2","2","3","3","2","1","2","3","1","1","3","2","2","2",
"19","21-Jun-2020 14:28:49","21-Jun-2020 15:27:20","3511","美国","","","","1","2","3","1","3","1","3","3","1","2","1","2","2","3","1","2","3","1","2","1","3","1","2","1","2","2","2","2","2","2","2","2",
"18","21-Jun-2020 15:16:17","21-Jun-2020 15:19:08","171","中国","北京市","北京市","","1","3","3","3","1","2","2","1","2","1","3","3","2","2","3","3","2","1","2","2","1","3","1","1","3","3","3","2","1","3","2","2",
"17","21-Jun-2020 14:56:11","21-Jun-2020 14:59:13","182","日本","","","","1","2","3","1","2","1","3","3","3","1","3","3","3","2","3","3","1","1","2","2","1","3","2","1","3","1","1","1","3","2","2","2",
"16","21-Jun-2020 14:47:29","21-Jun-2020 14:49:24","115","中国","广东省","深圳市","","3","3","3","3","1","2","2","2","1","3","3","1","1","2","2","1","1","1","1","1","1","3","3","3","3","3","2","2","1","2","3","2",
"15","21-Jun-2020 14:37:32","21-Jun-2020 14:39:35","123","中国","北京市","北京市","","2","3","3","2","1","2","2","3","1","3","1","2","1","3","2","1","3","1","1","1","2","1","1","3","3","2","3","3","2","2","1","3",
"14","21-Jun-2020 14:33:31","21-Jun-2020 14:36:03","152","中国","北京市","北京市","","3","3","1","3","1","1","3","3","3","1","2","3","3","2","3","3","2","1","2","2","3","3","2","1","3","3","1","1","1","2","2","3",
"13","21-Jun-2020 14:29:46","21-Jun-2020 14:32:53","187","中国","北京市","北京市","","1","3","3","3","1","2","2","1","1","3","3","3","1","1","2","3","1","1","1","3","1","3","3","3","3","3","3","3","1","3","2","3",
"12","21-Jun-2020 14:23:34","21-Jun-2020 14:26:47","193","中国","北京市","北京市","","3","3","2","3","2","2","2","1","3","1","2","1","3","3","2","3","1","3","3","2","3","1","2","1","2","1","3","1","3","2","3","2",
"11","21-Jun-2020 14:23:15","21-Jun-2020 14:26:47","212","美国","","","","2","3","2","3","1","1","1","2","1","3","2","1","1","2","2","3","1","1","1","2","1","3","3","3","3","3","1","2","3","2","2","2",
"10","21-Jun-2020 14:20:48","21-Jun-2020 14:23:19","151","美国","","","","2","3","2","1","1","3","2","2","2","1","2","1","2","1","3","2","3","3","1","3","3","3","2","3","3","1","3","3","1","1","1","3",
"9","21-Jun-2020 14:11:38","21-Jun-2020 14:14:14","156","中国","湖北省","武汉市","","1","2","1","1","2","2","2","3","3","1","2","2","2","3","2","2","3","1","2","1","1","3","3","3","3","2","2","2","3","1","3","3",
"8","21-Jun-2020 13:32:25","21-Jun-2020 13:35:23","178","中国","内蒙古自治区","呼伦贝尔市","","1","3","3","3","1","2","2","3","1","3","2","1","2","2","2","3","1","1","1","2","1","3","2","1","3","2","2","2","1","2","3","2",
"7","21-Jun-2020 13:00:30","21-Jun-2020 13:02:44","134","中国","辽宁省","盘锦市","","3","3","3","2","1","1","1","2","1","1","1","1","3","2","3","2","2","1","3","2","3","2","1","2","3","1","3","3","1","1","2","3",
"6","21-Jun-2020 12:35:58","21-Jun-2020 12:49:06","788","中国","广东省","深圳市","","3","3","3","1","3","1","3","3","3","2","2","1","2","2","2","3","1","3","2","3","1","3","2","2","2","3","2","1","1","1","2","3",
"5","21-Jun-2020 12:41:25","21-Jun-2020 12:44:30","185","美国","","","","1","3","3","3","1","1","2","3","3","1","3","3","2","3","2","3","1","1","2","2","1","3","3","3","3","2","3","2","2","2","2","2",
"4","21-Jun-2020 12:36:16","21-Jun-2020 12:38:13","117","美国","","","","1","3","3","3","1","3","2","2","3","1","2","1","1","2","3","3","3","1","1","2","3","1","2","1","3","2","2","3","3","2","2","3",
"3","21-Jun-2020 12:33:05","21-Jun-2020 12:34:46","101","中国","浙江省","杭州市","","1","3","1","2","2","1","1","3","3","3","1","1","2","2","2","2","3","1","1","1","3","2","3","3","2","2","2","2","2","3","3","2",
"2","21-Jun-2020 12:25:17","21-Jun-2020 12:29:32","255","中国","天津市","天津市","","1","3","3","1","1","2","2","3","1","3","2","3","3","1","2","3","3","1","1","3","1","3","3","3","2","3","3","2","1","1","3","2",
"1","21-Jun-2020 12:23:16","21-Jun-2020 12:25:45","149","美国","","","","1","2","3","1","2","2","3","2","3","1","3","1","2","3","2","3","3","1","1","1","1","3","2","3","3","1","2","2","2","1","3","3",
